ID	lgth	out	in	long_cov	short1_cov	short1_Ocov	short2_cov	short2_Ocov
1	42	0	0	0.000000	3.142857	3.142857	0.000000	0.000000
2	62	0	0	0.000000	4.387097	4.387097	0.000000	0.000000
3	42	0	0	0.000000	3.023810	3.023810	0.000000	0.000000
4	52	0	0	0.000000	3.788462	3.788462	0.000000	0.000000
5	33	0	0	0.000000	3.484848	3.484848	0.000000	0.000000
6	48	0	0	0.000000	4.500000	4.500000	0.000000	0.000000
7	38	0	0	0.000000	3.842105	3.842105	0.000000	0.000000
8	46	0	0	0.000000	4.043478	4.043478	0.000000	0.000000
9	50	0	0	0.000000	5.100000	5.100000	0.000000	0.000000
10	41	0	0	0.000000	4.219512	4.219512	0.000000	0.000000
11	182	0	0	0.000000	3.873626	3.714286	0.000000	0.000000
12	65	0	0	0.000000	4.630769	4.630769	0.000000	0.000000
13	41	0	0	0.000000	3.658537	3.658537	0.000000	0.000000
14	95	0	0	0.000000	4.600000	4.600000	0.000000	0.000000
15	54	0	0	0.000000	3.500000	3.500000	0.000000	0.000000
16	83	0	1	0.000000	3.939759	3.939759	0.000000	0.000000
17	39	0	0	0.000000	3.743590	3.743590	0.000000	0.000000
18	53	0	0	0.000000	4.603774	4.603774	0.000000	0.000000
19	34	0	0	0.000000	3.323529	3.323529	0.000000	0.000000
20	37	2	3	0.000000	5.027027	5.027027	0.000000	0.000000
21	81	0	0	0.000000	3.320988	3.320988	0.000000	0.000000
22	67	0	0	0.000000	3.626866	3.626866	0.000000	0.000000
23	75	0	0	0.000000	4.373333	4.373333	0.000000	0.000000
24	27	0	0	0.000000	8.444444	8.444444	0.000000	0.000000
25	35	0	0	0.000000	4.742857	4.742857	0.000000	0.000000
26	58	0	0	0.000000	4.706897	4.706897	0.000000	0.000000
27	37	0	0	0.000000	3.108108	3.108108	0.000000	0.000000
28	62	0	0	0.000000	3.693548	3.693548	0.000000	0.000000
29	32	0	0	0.000000	5.375000	5.375000	0.000000	0.000000
30	38	0	0	0.000000	3.315789	3.315789	0.000000	0.000000
31	44	0	0	0.000000	3.454545	3.454545	0.000000	0.000000
32	39	0	0	0.000000	4.666667	4.666667	0.000000	0.000000
33	29	0	0	0.000000	4.000000	4.000000	0.000000	0.000000
34	42	0	0	0.000000	3.142857	3.142857	0.000000	0.000000
35	45	0	0	0.000000	5.866667	5.866667	0.000000	0.000000
36	62	0	0	0.000000	3.935484	3.935484	0.000000	0.000000
37	52	0	0	0.000000	3.884615	3.884615	0.000000	0.000000
38	33	0	0	0.000000	3.333333	3.333333	0.000000	0.000000
39	1	2	2	0.000000	15.000000	15.000000	0.000000	0.000000
40	1	2	1	0.000000	10.000000	10.000000	0.000000	0.000000
41	54	2	2	0.000000	5.500000	5.500000	0.000000	0.000000
42	56	0	0	0.000000	3.660714	3.660714	0.000000	0.000000
43	1	0	0	0.000000	14.000000	14.000000	0.000000	0.000000
44	89	0	0	0.000000	4.269663	4.269663	0.000000	0.000000
45	56	0	0	0.000000	3.607143	3.607143	0.000000	0.000000
46	45	0	0	0.000000	3.600000	3.600000	0.000000	0.000000
47	29	0	0	0.000000	6.275862	6.275862	0.000000	0.000000
48	52	0	0	0.000000	4.096154	4.096154	0.000000	0.000000
49	1	0	0	0.000000	19.000000	19.000000	0.000000	0.000000
50	66	0	0	0.000000	4.287879	4.287879	0.000000	0.000000
51	59	0	0	0.000000	4.525424	4.525424	0.000000	0.000000
52	55	0	0	0.000000	3.200000	3.200000	0.000000	0.000000
53	118	0	0	0.000000	3.915254	3.915254	0.000000	0.000000
54	86	0	0	0.000000	3.581395	3.581395	0.000000	0.000000
55	47	0	0	0.000000	3.021277	3.021277	0.000000	0.000000
56	89	0	0	0.000000	3.910112	3.910112	0.000000	0.000000
57	69	1	0	0.000000	3.652174	3.652174	0.000000	0.000000
58	74	2	0	0.000000	3.540541	3.540541	0.000000	0.000000
59	18789	0	0	0.000000	1.416574	0.016765	0.000000	0.000000
60	30	0	0	0.000000	5.100000	5.100000	0.000000	0.000000
61	50	0	0	0.000000	4.200000	4.200000	0.000000	0.000000
62	109	0	0	0.000000	3.422018	3.422018	0.000000	0.000000
63	26	0	0	0.000000	3.461538	3.461538	0.000000	0.000000
64	39	0	0	0.000000	4.461538	4.461538	0.000000	0.000000
65	51	0	0	0.000000	3.862745	3.862745	0.000000	0.000000
66	5586	0	0	0.000000	0.806660	0.071787	0.000000	0.000000
67	91	0	0	0.000000	3.439560	3.439560	0.000000	0.000000
68	50	0	0	0.000000	4.480000	4.480000	0.000000	0.000000
69	71	0	0	0.000000	3.943662	3.943662	0.000000	0.000000
